SPOT	nasdaqtrader:N:SPOT	74.9689
KLAC	nasdaqtrader:Q:KLAC	74.9635
LRCX	nasdaqtrader:Q:LRCX	74.1995
ASTS	nasdaqtrader:Q:ASTS	73.7495
QCOM	nasdaqtrader:Q:QCOM	73.4721
NOW	nasdaqtrader:N:NOW	73.4421
CRM	nasdaqtrader:N:CRM	73.3672
RKLB	nasdaqtrader:Q:RKLB	73.3236
PINS	nasdaqtrader:N:PINS	73.2597
HOOD	nasdaqtrader:Q:HOOD	73.2089
SOFI	nasdaqtrader:Q:SOFI	73.1604
CDE	nasdaqtrader:N:CDE	73.0914
FPS	nasdaqtrader:N:FPS	73.0768
AEM	nasdaqtrader:N:AEM	73.0754
INSM	nasdaqtrader:Q:INSM	73.0248
IT	nasdaqtrader:N:IT	72.858
TER	nasdaqtrader:Q:TER	72.8011
RIVN	nasdaqtrader:Q:RIVN	72.7646
DDOG	nasdaqtrader:Q:DDOG	72.7612
AKAM	nasdaqtrader:Q:AKAM	72.7584
CAT	nasdaqtrader:N:CAT	72.7059
ON	nasdaqtrader:Q:ON	72.6774
MKSI	nasdaqtrader:Q:MKSI	72.5819
MPWR	nasdaqtrader:Q:MPWR	72.5585
SAP	nasdaqtrader:N:SAP	72.4544
MELI	nasdaqtrader:Q:MELI	72.3911
AMD	nasdaqtrader:Q:AMD	72.3341
ROP	nasdaqtrader:Q:ROP	72.3246
GEV	nasdaqtrader:N:GEV	72.2983
BX	nasdaqtrader:N:BX	72.2978
SOXX	US:SOXX	72.2945
OWL	nasdaqtrader:N:OWL	72.2618
F	nasdaqtrader:N:F	72.183
HD	nasdaqtrader:N:HD	72.167
VRSK	nasdaqtrader:Q:VRSK	72.1564
FN	nasdaqtrader:N:FN	72.154
AFRM	nasdaqtrader:Q:AFRM	72.1333
ARM	nasdaqtrader:Q:ARM	72.0779
MRVL	nasdaqtrader:Q:MRVL	72.0763
ARES	nasdaqtrader:N:ARES	72.0719
DASH	nasdaqtrader:Q:DASH	72.067
MTZ	nasdaqtrader:N:MTZ	72.0315
ALAB	nasdaqtrader:Q:ALAB	71.9961
AU	nasdaqtrader:N:AU	71.9822
GLW	nasdaqtrader:N:GLW	71.9807
CLS	nasdaqtrader:N:CLS	71.9768
CORZ	nasdaqtrader:Q:CORZ	71.9699
ELF	nasdaqtrader:N:ELF	71.9694
ENPH	nasdaqtrader:Q:ENPH	71.952
MOD	nasdaqtrader:N:MOD	71.9507
DHR	nasdaqtrader:N:DHR	71.9168
AA	nasdaqtrader:N:AA	71.8805
GWRE	nasdaqtrader:N:GWRE	71.8371
PBR	nasdaqtrader:N:PBR	71.8112
SWKS	nasdaqtrader:Q:SWKS	71.808
RMBS	nasdaqtrader:Q:RMBS	71.8041
FSLR	nasdaqtrader:Q:FSLR	71.7788
PLTR	nasdaqtrader:Q:PLTR	71.7779
MTSI	nasdaqtrader:Q:MTSI	71.7735
DOW	nasdaqtrader:N:DOW	71.7636
ZS	nasdaqtrader:Q:ZS	71.7537
NOK	nasdaqtrader:N:NOK	71.7426
SMTC	nasdaqtrader:Q:SMTC	71.6849
TSEM	nasdaqtrader:Q:TSEM	71.6443
CRWV	nasdaqtrader:Q:CRWV	71.6123
NBIS	nasdaqtrader:Q:NBIS	71.5957
MU	nasdaqtrader:Q:MU	71.5932
TXN	nasdaqtrader:Q:TXN	71.5887
CTSH	nasdaqtrader:Q:CTSH	71.5814
WDC	nasdaqtrader:Q:WDC	71.5364
ONTO	nasdaqtrader:N:ONTO	71.5299
WPM	nasdaqtrader:N:WPM	71.5099
GEHC	nasdaqtrader:Q:GEHC	71.5068
DG	nasdaqtrader:N:DG	71.4991
AMKR	nasdaqtrader:Q:AMKR	71.4779
ASX	nasdaqtrader:N:ASX	71.4628
COHR	nasdaqtrader:N:COHR	71.4585
STX	nasdaqtrader:Q:STX	71.4522
CHRW	nasdaqtrader:Q:CHRW	71.4493
AVGO	nasdaqtrader:Q:AVGO	71.396
INTC	nasdaqtrader:Q:INTC	71.3955
CF	nasdaqtrader:N:CF	71.3623
SNDK	nasdaqtrader:Q:SNDK	71.3491
RDW	nasdaqtrader:N:RDW	71.3176
SMH	US:SMH	71.3167
CCJ	nasdaqtrader:N:CCJ	71.315
JBL	nasdaqtrader:N:JBL	71.3099
AAL	nasdaqtrader:Q:AAL	71.2919
OXY	nasdaqtrader:N:OXY	71.2772
VALE	nasdaqtrader:N:VALE	71.2511
IGV	US:IGV	71.2418
AMAT	nasdaqtrader:Q:AMAT	71.1981
HAL	nasdaqtrader:N:HAL	71.1621
CDNS	nasdaqtrader:Q:CDNS	71.1467
ADI	nasdaqtrader:Q:ADI	71.1385
