ticker,company,contract_id,issuer_id,issuer_cik,security_type,instrument_status,exchange,sector,industry,current_price,reference_52w_high,market_cap,avg_dollar_volume,return_1m_pct,return_3m_pct,return_6m_pct,return_12m_pct,drawdown_pct,historical_volatility_pct,trading_history_days,momentum_history_status,data_integrity_status,as_of,l2_status,l2_setup_score,l2_confidence_pct,l2_quality_prior_score,l2_room_to_target_score,setup_prior_growth,setup_pullback_geometry,setup_liquidity,setup_data_completeness,setup_model_version,l2_rules_hash
SRXH,SRX Global Inc. Common Stock,nasdaqtrader:A:SRXH,SECURITY:SRXH:nasdaqtrader:A:SRXH,,common_equity,eligible,A,,,1.81,34.98,,11879245.889968254,-8.121827411167503,-74.32624113475177,-76.37692508483424,-91.12745098039215,94.8256146369354,124.11408334387973,277.0,full,usable,2026-08-20,conditional,38.29,100.0,,,0.0,30.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SRZN,"Surrozen, Inc. - Common Stock",nasdaqtrader:Q:SRZN,SECURITY:SRZN:nasdaqtrader:Q:SRZN,,common_equity,eligible,Q,,,23.5,34.13,,4456509.976349207,8.195211786372013,-13.123844731977819,-12.736724842183433,110.762331838565,31.145619689422798,72.97228399082091,277.0,full,usable,2026-08-20,conditional,83.93,100.0,,,95.0,92.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSB,SouthState Bank Corporation Common Stock,nasdaqtrader:N:SSB,SECURITY:SSB:nasdaqtrader:N:SSB,,common_equity,eligible,N,,,105.78,111.59,,84603998.67714286,3.513063900577351,11.865482233502544,2.0943924331628283,9.787234042553195,5.206559727574156,22.554891929645184,277.0,full,usable,2026-08-20,conditional,60.57,100.0,,,67.0,28.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSBI,Summit State Bank - Common Stock,nasdaqtrader:Q:SSBI,SECURITY:SSBI:nasdaqtrader:Q:SSBI,,common_equity,eligible,Q,,,12.79,14.0,,66489.74457301588,-3.106060606060612,-4.194756554307122,-6.9818181818181895,8.38983050847457,8.642857142857153,25.89823841854702,277.0,full,usable,2026-08-20,rejected,66.14,100.0,,,79.0,82.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSD,"Simpson Manufacturing Company, Inc. Common Stock",nasdaqtrader:N:SSD,SECURITY:SSD:nasdaqtrader:N:SSD,,common_equity,eligible,N,,,187.88,210.06,,59200070.51793651,0.5781584582440935,1.5567567567567497,-6.158533539783228,-2.099942681465272,10.558887936779971,31.787331161624177,277.0,full,usable,2026-08-20,conditional,81.57,100.0,,,73.0,82.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSII,SS Innovations International Inc. - Common Stock,nasdaqtrader:Q:SSII,SECURITY:SSII:nasdaqtrader:Q:SSII,,common_equity,eligible,Q,,,3.61,9.98,,249633.74984126983,0.8379888268156277,-8.491761723700886,-17.954545454545467,-45.38577912254161,63.827655310621246,55.295361371445516,277.0,full,usable,2026-08-20,rejected,58.43,100.0,,,67.0,70.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSL,Sasol Ltd. American Depositary Shares,nasdaqtrader:N:SSL,SECURITY:SSL:nasdaqtrader:N:SSL,,adr,eligible,N,,,12.27,14.29,,16229482.93111111,8.392226148409886,-5.832693783576359,38.64406779661016,106.91399662731871,14.13575927221833,42.40690958216034,277.0,full,usable,2026-08-20,conditional,81.14,100.0,,,85.0,82.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSM,Sono Group N.V. - Ordinary Shares,nasdaqtrader:Q:SSM,SECURITY:SSM:nasdaqtrader:Q:SSM,,common_equity,eligible,Q,,,2.64,14.47,,144413.7901904762,-34.164588528678294,-32.30769230769231,-63.58620689655172,,81.75535590877678,76.65081932515764,241.0,limited_but_usable,usable,2026-08-20,rejected,39.0,100.0,,,49.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSMR,Sunshine Silver Mining & Refining Company Common Stock,nasdaqtrader:N:SSMR,SECURITY:SSMR:nasdaqtrader:N:SSMR,,common_equity,eligible,N,,,17.45,17.45,,3741163.3607407403,16.64438502673795,,,,0.0,61.29455503461359,54.0,insufficient,usable,2026-08-20,recheck,,71.43,,,,10.0,45.0,76.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",nasdaqtrader:Q:SSNC,SECURITY:SSNC:nasdaqtrader:Q:SSNC,,common_equity,eligible,Q,,,82.12,90.2,,144330701.86761904,22.53058788421367,22.202380952380963,15.062351127924888,-6.533120874117904,8.95787139689579,38.50974175384423,277.0,full,usable,2026-08-20,conditional,77.86,100.0,,,51.0,82.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
