ticker,company,contract_id,issuer_id,issuer_cik,security_type,instrument_status,exchange,sector,industry,current_price,reference_52w_high,market_cap,avg_dollar_volume,return_1m_pct,return_3m_pct,return_6m_pct,return_12m_pct,drawdown_pct,historical_volatility_pct,trading_history_days,momentum_history_status,data_integrity_status,as_of,l2_status,l2_setup_score,l2_confidence_pct,l2_quality_prior_score,l2_room_to_target_score,setup_prior_growth,setup_pullback_geometry,setup_liquidity,setup_data_completeness,setup_model_version,l2_rules_hash
TP,Ticketplus Ltd. Ordinary Shares,nasdaqtrader:A:TP,SECURITY:TP:nasdaqtrader:A:TP,,common_equity,eligible,A,,,7.1,7.59,,470363.6450555555,,,,,6.455862977602111,,9.0,insufficient,usable,2026-08-19,rejected,,71.43,,,,28.0,0.0,64.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TPB,"Turning Point Brands, Inc. Common Stock",nasdaqtrader:N:TPB,SECURITY:TPB:nasdaqtrader:N:TPB,,common_equity,eligible,N,,,88.26,142.98,,33725927.50174603,10.93514328808447,-1.0981622590766404,-33.44393333836061,-10.53218449062342,38.271086865295835,51.931269811303814,277.0,full,usable,2026-08-19,conditional,86.21,100.0,,,73.0,95.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TPC,Tutor Perini Corporation Common Stock,nasdaqtrader:N:TPC,SECURITY:TPC:nasdaqtrader:N:TPC,,common_equity,eligible,N,,,90.33,99.11,,60072265.084285714,4.090804332795561,20.58470164197037,11.38101109741061,57.25974930362116,8.85884370901019,61.34353766932907,277.0,full,usable,2026-08-19,conditional,84.43,100.0,,,83.0,82.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TPCS,TechPrecision Corporation - Common stock,nasdaqtrader:Q:TPCS,SECURITY:TPCS:nasdaqtrader:Q:TPCS,,common_equity,eligible,Q,,,5.82,6.23,,258036.97325396826,23.305084745762716,51.958224543080945,43.70370370370371,9.604519774011312,6.581059390048161,72.56912527029102,277.0,full,usable,2026-08-19,rejected,40.57,100.0,,,57.0,28.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TPET,Trio Petroleum Corp. Common Stock,nasdaqtrader:A:TPET,SECURITY:TPET:nasdaqtrader:A:TPET,,common_equity,eligible,A,,,0.2046,1.95,,1100581.7758888889,-35.761381475667186,-48.20253164556962,-51.53955471340596,-81.73214285714285,89.50769230769231,95.1745880295211,277.0,full,usable,2026-08-19,rejected,32.14,100.0,,,25.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TPG,TPG Inc. - Class A Common Stock,nasdaqtrader:Q:TPG,NAMECLASS:TPG INC,,common_equity,eligible,Q,,,53.18,69.66,,115141760.64857142,24.136321195144706,32.05860442016388,10.930329578639974,-14.843875100080073,23.657766293425208,42.78168993273855,277.0,full,usable,2026-08-19,conditional,84.29,100.0,,,61.0,92.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TPL,Texas Pacific Land Corporation Common Stock,nasdaqtrader:N:TPL,SECURITY:TPL:nasdaqtrader:N:TPL,,common_equity,eligible,N,,,373.18,539.79,,156521880.65158728,-10.916425962617271,-5.421091314595627,-15.323001520274094,25.501933748108275,30.865707034217003,47.41684047651465,277.0,full,usable,2026-08-19,conditional,91.71,100.0,,,87.0,92.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TPR,"Tapestry, Inc. Common Stock",nasdaqtrader:N:TPR,SECURITY:TPR:nasdaqtrader:N:TPR,,common_equity,eligible,N,,,131.72,164.78,,393665385.28174603,-7.3438379290939775,0.06837347109320824,-15.019354838709676,31.838654789310382,20.06311445563782,62.046225922730805,277.0,full,usable,2026-08-19,conditional,91.71,100.0,,,87.0,92.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TR,"Tootsie Roll Industries, Inc. Common Stock",nasdaqtrader:N:TR,SECURITY:TR:nasdaqtrader:N:TR,,common_equity,eligible,N,,,41.25,44.81,,8879100.668095239,6.122974015950611,0.9544787077826689,-0.76978590329565,5.959414333418955,7.944655210890428,21.637187981100865,277.0,full,usable,2026-08-19,conditional,60.14,100.0,,,79.0,28.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TRAD,APEX Tech Acquisition Inc. Ordinary Shares,nasdaqtrader:N:TRAD,SECURITY:TRAD:nasdaqtrader:N:TRAD,,common_equity,eligible,N,,,10.0399,10.04,,27367.69038095238,0.8022088353413448,1.1067472306143022,,,0.0009960159362498722,6.247550435234196,85.0,insufficient,usable,2026-08-19,rejected,,71.43,,,,10.0,0.0,88.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TRAK,"ReposiTrak, Inc. Common Stock",nasdaqtrader:N:TRAK,SECURITY:TRAK:nasdaqtrader:N:TRAK,,common_equity,eligible,N,,,8.14,17.8,,617347.1817460317,-3.210463733650415,-17.36040609137055,-11.52173913043477,-51.25748502994012,54.26966292134831,37.999962595461376,277.0,full,usable,2026-08-19,rejected,58.43,100.0,,,67.0,70.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TRAX,"First Tracks Biotherapeutics, Inc. - Ordinary Shares",nasdaqtrader:Q:TRAX,SECURITY:TRAX:nasdaqtrader:Q:TRAX,,common_equity,eligible,Q,,,45.5,47.92,,22730857.43920635,21.755418785121773,173.109243697479,,,5.050083472454093,150.87419800746574,95.0,insufficient,usable,2026-08-19,recheck,,71.43,,,,28.0,62.0,88.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TRC,Tejon Ranch Co Common Stock,nasdaqtrader:N:TRC,SECURITY:TRC:nasdaqtrader:N:TRC,,common_equity,eligible,N,,,16.53,20.48,,2141413.983650794,-7.8081427774679195,-13.951067152524722,-2.015411973918202,-3.3333333333333326,19.287109375,17.061841726469883,277.0,full,usable,2026-08-19,conditional,74.07,100.0,,,73.0,82.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
TRDA,"Entrada Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:TRDA,SECURITY:TRDA:nasdaqtrader:Q:TRDA,,common_equity,eligible,Q,,,7.78,16.03,,2517097.6107936506,20.433436532507756,37.69911504424779,-29.528985507246365,40.94202898550727,51.46600124766063,71.70057520689085,277.0,full,usable,2026-08-19,conditional,70.36,100.0,,,75.0,70.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
