ticker,company,contract_id,issuer_id,issuer_cik,security_type,instrument_status,exchange,sector,industry,current_price,reference_52w_high,market_cap,avg_dollar_volume,return_1m_pct,return_3m_pct,return_6m_pct,return_12m_pct,drawdown_pct,historical_volatility_pct,trading_history_days,momentum_history_status,data_integrity_status,as_of,l2_status,l2_setup_score,l2_confidence_pct,l2_quality_prior_score,l2_room_to_target_score,setup_prior_growth,setup_pullback_geometry,setup_liquidity,setup_data_completeness,setup_model_version,l2_rules_hash
LUCD,Lucid Diagnostics Inc. - Common Stock,nasdaqtrader:Q:LUCD,SECURITY:LUCD:nasdaqtrader:Q:LUCD,,common_equity,eligible,Q,,,0.9643,1.47,,1437902.9808968254,1.988365943945003,-3.5699999999999954,-29.095588235294123,-6.378640776699029,34.40136054421769,74.29947699868002,277.0,full,usable,2026-08-21,rejected,68.0,100.0,,,73.0,92.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUCK,Lucky Strike Entertainment Corporation Class A Common Stock,nasdaqtrader:N:LUCK,NAMECLASS:LUCKY STRIKE ENTERTAINMENT CORPORATION,,common_equity,eligible,N,,,6.8,10.7,,822720.3492063492,-1.0189228529839944,-23.337091319052984,-20.653442240373398,-32.20338983050846,36.44859813084111,32.66434566350316,277.0,full,usable,2026-08-21,rejected,67.36,100.0,,,67.0,95.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUCY,"Innovative Eyewear, Inc. - Common Stock",nasdaqtrader:Q:LUCY,SECURITY:LUCY:nasdaqtrader:Q:LUCY,,common_equity,eligible,Q,,,0.6839,2.14,,5213491.851253969,-1.6395800373939395,-30.98890010090818,-39.477876106194685,-65.10714285714285,68.04205607476636,94.00523394052934,277.0,full,usable,2026-08-21,conditional,57.43,100.0,,,67.0,30.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUD,Luda Technology Group Limited Ordinary Shares,nasdaqtrader:A:LUD,SECURITY:LUD:nasdaqtrader:A:LUD,,common_equity,eligible,A,,,4.28,19.7,,304050.0401015873,3.1325301204819356,-12.474437627811852,-32.17115689381933,-1.6091954022988353,78.2741116751269,48.492805935398664,277.0,full,usable,2026-08-21,rejected,45.86,100.0,,,73.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LULU,lululemon athletica inc. - Common Stock,nasdaqtrader:Q:LULU,SECURITY:LULU:nasdaqtrader:Q:LULU,,common_equity,eligible,Q,,,121.07,215.88,,402741844.40095234,9.43686161077466,-4.488797727989913,-35.36038441003738,-38.89057137088634,43.917917361497125,35.8083038717804,277.0,full,usable,2026-08-21,conditional,87.07,100.0,,,67.0,95.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUMN,"Lumen Technologies, Inc. Common Stock",nasdaqtrader:N:LUMN,SECURITY:LUMN:nasdaqtrader:N:LUMN,,common_equity,eligible,N,,,5.94,11.83,,103081023.6831746,-9.035222052067382,-37.07627118644067,-24.13793103448275,34.0857787810384,49.78867286559594,59.47772128919115,277.0,full,usable,2026-08-21,conditional,92.79,100.0,,,87.0,95.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUNG,Pulmonx Corporation - Common Stock,nasdaqtrader:Q:LUNG,SECURITY:LUNG:nasdaqtrader:Q:LUNG,,common_equity,eligible,Q,,,2.26,2.6,,952679.0565873015,85.24590163934424,46.75324675324675,50.166112956810636,49.66887417218542,13.076923076923086,126.94951928063863,277.0,full,usable,2026-08-21,rejected,62.14,100.0,,,65.0,82.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUNR,"Intuitive Machines, Inc. - Class A Common Stock",nasdaqtrader:Q:LUNR,NAMECLASS:INTUITIVE MACHINES INC,,common_equity,eligible,Q,,,18.32,45.7,,309979564.1933333,33.625091174325306,-46.49532710280374,4.387464387464379,111.79190751445086,59.91247264770241,85.94995767043491,277.0,full,usable,2026-08-21,conditional,82.71,100.0,,,83.0,70.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUV,Southwest Airlines Company Common Stock,nasdaqtrader:N:LUV,SECURITY:LUV:nasdaqtrader:N:LUV,,common_equity,eligible,N,,,40.38,54.8,,271545243.3353968,-9.684634309997763,-0.9808729769494762,-22.4803225187176,29.5060936497755,26.31386861313868,41.11988823895756,277.0,full,usable,2026-08-21,conditional,91.71,100.0,,,87.0,92.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
LUXE,"LuxExperience B.V. American Depositary Shares, each representing one Ordinary Share",nasdaqtrader:N:LUXE,SECURITY:LUXE:nasdaqtrader:N:LUXE,,adr,eligible,N,,,7.77,10.51,,1287627.237936508,-2.386934673366836,7.7669902912621325,-20.06172839506174,-5.474452554744536,26.070409134157945,39.475234242474215,277.0,full,usable,2026-08-21,rejected,64.57,100.0,,,61.0,92.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
