ticker,company,contract_id,issuer_id,issuer_cik,security_type,instrument_status,exchange,sector,industry,current_price,reference_52w_high,market_cap,avg_dollar_volume,return_1m_pct,return_3m_pct,return_6m_pct,return_12m_pct,drawdown_pct,historical_volatility_pct,trading_history_days,momentum_history_status,data_integrity_status,as_of,l2_status,l2_setup_score,l2_confidence_pct,l2_quality_prior_score,l2_room_to_target_score,setup_prior_growth,setup_pullback_geometry,setup_liquidity,setup_data_completeness,setup_model_version,l2_rules_hash
MSCI,MSCI Inc. Common Stock,nasdaqtrader:N:MSCI,SECURITY:MSCI:nasdaqtrader:N:MSCI,,common_equity,eligible,N,,,568.75,643.83,,424961007.39158726,-0.38532270776776567,-2.2715947557434224,5.106076286221173,0.10384398760912017,11.661463429787366,40.328698064050286,277.0,full,usable,2026-08-20,conditional,85.86,100.0,,,79.0,82.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSEX,Middlesex Water Company - Common Stock,nasdaqtrader:Q:MSEX,SECURITY:MSEX:nasdaqtrader:Q:MSEX,,common_equity,eligible,Q,,,58.76,61.96,,9234396.084761905,3.85295157299399,14.631291455325801,7.875894988066823,10.409620443442314,5.164622336991609,22.03184261137308,277.0,full,usable,2026-08-20,conditional,56.71,100.0,,,67.0,28.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSFT,Microsoft Corporation - Common Stock,nasdaqtrader:Q:MSFT,SECURITY:MSFT:nasdaqtrader:Q:MSFT,,common_equity,eligible,Q,,,481.15,542.07,,16581702688.27111,23.264333657836755,14.271125255308025,20.7523967274005,-5.61429664358436,11.238400944527472,49.954962679534745,277.0,full,usable,2026-08-20,conditional,79.57,100.0,,,51.0,82.0,100.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSGE,Madison Square Garden Entertainment Corp. Class A Common Stock,nasdaqtrader:N:MSGE,NAMECLASS:MADISON SQUARE GARDEN ENTERTAINMENT CORP,,common_equity,eligible,N,,,79.83,88.42,,35204862.85714286,2.110514198004587,14.731244610520267,26.413301662707834,112.42682277807346,9.714996607102467,43.530350978629215,277.0,full,usable,2026-08-20,conditional,81.57,100.0,,,73.0,82.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSGM,Motorsport Games Inc. - Class A Common Stock,nasdaqtrader:Q:MSGM,NAMECLASS:MOTORSPORT GAMES INC,,common_equity,eligible,Q,,,3.8,5.32,,199560.22507936507,-13.439635535307515,-18.103448275862068,11.764705882352944,29.251700680272098,28.57142857142858,85.75114106692025,277.0,full,usable,2026-08-20,rejected,72.0,100.0,,,87.0,92.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),nasdaqtrader:N:MSGS,SECURITY:MSGS:nasdaqtrader:N:MSGS,,common_equity,eligible,N,,,398.52,414.12,,95089000.83396825,0.31969792322215085,12.84723205436784,21.30029828940159,102.6647681041497,3.767024050999712,25.481887312121103,277.0,full,usable,2026-08-20,conditional,55.86,100.0,,,73.0,10.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSI,"Motorola Solutions, Inc. Common Stock",nasdaqtrader:N:MSI,SECURITY:MSI:nasdaqtrader:N:MSI,,common_equity,eligible,N,,,473.63,490.3,,443176469.41952384,17.13946528825465,19.62770256617499,4.397372597425497,2.871353793358078,3.3999592086477737,32.85323762448657,277.0,full,usable,2026-08-20,conditional,56.71,100.0,,,67.0,10.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSLE,Satellos Bioscience Inc. - Common Stock,nasdaqtrader:Q:MSLE,SECURITY:MSLE:nasdaqtrader:Q:MSLE,,common_equity,eligible,Q,,,10.185,13.01,,462524.9272222222,4.141104294478537,38.477226376614546,-8.325832583258318,,21.714066102997688,58.5394482014285,135.0,limited_but_usable,usable,2026-08-20,rejected,60.57,100.0,,,47.0,92.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSM,"MSC Industrial Direct Company, Inc. Common Stock",nasdaqtrader:N:MSM,SECURITY:MSM:nasdaqtrader:N:MSM,,common_equity,eligible,N,,,117.7,127.28,,90467285.9763492,-7.526712759270893,10.859941603089386,25.386172366038128,32.15809566584325,7.526712759270893,22.47227504622463,277.0,full,usable,2026-08-20,conditional,60.0,100.0,,,65.0,28.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
MSN,Emerson Radio Corporation Common Stock,nasdaqtrader:A:MSN,SECURITY:MSN:nasdaqtrader:A:MSN,,common_equity,eligible,A,,,0.3825,0.7647,,63324.015063492065,1.5127388535031816,-4.850746268656724,-8.052884615384615,-17.2972972972973,49.980384464495884,45.34611359131965,277.0,full,usable,2026-08-20,rejected,69.07,100.0,,,73.0,95.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
