ticker,company,contract_id,issuer_id,issuer_cik,security_type,instrument_status,exchange,sector,industry,current_price,reference_52w_high,market_cap,avg_dollar_volume,return_1m_pct,return_3m_pct,return_6m_pct,return_12m_pct,drawdown_pct,historical_volatility_pct,trading_history_days,momentum_history_status,data_integrity_status,as_of,l2_status,l2_setup_score,l2_confidence_pct,l2_quality_prior_score,l2_room_to_target_score,setup_prior_growth,setup_pullback_geometry,setup_liquidity,setup_data_completeness,setup_model_version,l2_rules_hash
CXII,Churchill Capital Corp XII - Class A Ordinary Shares,nasdaqtrader:Q:CXII,NAMECLASS:CHURCHILL CAPITAL CORP XII,,common_equity,eligible,Q,,,10.71,10.85,,890420.391875,-1.2903225806451535,,,,1.2903225806451535,8.60170233714703,44.0,insufficient,usable,2026-08-19,rejected,,71.43,,,,10.0,0.0,76.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CXM,"Sprinklr, Inc. Class A Common Stock",nasdaqtrader:N:CXM,NAMECLASS:SPRINKLR INC,,common_equity,eligible,N,,,7.13,8.75,,18943367.977460317,23.143350604490507,35.03787878787878,28.007181328545784,-14.814814814814802,18.514285714285716,42.50583401241417,277.0,full,usable,2026-08-19,conditional,71.43,100.0,,,51.0,82.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CXT,"Crane NXT, Co. Common Stock",nasdaqtrader:N:CXT,SECURITY:CXT:nasdaqtrader:N:CXT,,common_equity,eligible,N,,,48.56,68.91,,42297099.77650794,-4.989238896497749,28.059071729957807,-8.204158790170125,-19.348945357913962,29.531272674502972,35.717626116113735,277.0,full,usable,2026-08-19,conditional,81.71,100.0,,,61.0,92.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CXW,"CoreCivic, Inc. Common Stock",nasdaqtrader:N:CXW,SECURITY:CXW:nasdaqtrader:N:CXW,,common_equity,eligible,N,,,31.99,33.92,,39156818.49031746,-0.2805486284289227,52.26082817705853,72.35991379310344,54.76536042573776,5.6898584905660465,36.53839497873046,277.0,full,usable,2026-08-19,conditional,62.29,100.0,,,73.0,28.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:CYCN,SECURITY:CYCN:nasdaqtrader:Q:CYCN,,common_equity,eligible,Q,,,4.13,6.38,,89772.22817460318,11.772665764546698,37.66666666666667,205.9259259259259,62.59842519685039,35.26645768025078,52.97881222537314,277.0,full,usable,2026-08-19,rejected,69.07,100.0,,,73.0,95.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CYD,China Yuchai International Limited Common Stock,nasdaqtrader:N:CYD,SECURITY:CYD:nasdaqtrader:N:CYD,,common_equity,eligible,N,,,43.44,59.71,,9157317.326349206,-3.0140656396517085,-13.843712812376053,-22.34537003932785,40.53704302814622,27.248367107687155,41.61523476192435,277.0,full,usable,2026-08-19,conditional,85.29,100.0,,,87.0,92.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CYH,"Community Health Systems, Inc. Common Stock",nasdaqtrader:N:CYH,SECURITY:CYH:nasdaqtrader:N:CYH,,common_equity,eligible,N,,,2.92,4.41,,5277044.031587302,-9.034267912772586,4.285714285714293,-12.574850299401197,10.188679245283016,33.78684807256236,63.522053824960736,277.0,full,usable,2026-08-19,conditional,83.0,100.0,,,79.0,92.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CYN,Cyngn Inc. - Common stock,nasdaqtrader:Q:CYN,SECURITY:CYN:nasdaqtrader:Q:CYN,,common_equity,eligible,Q,,,1.06,6.36,,254652.19198412698,-8.620689655172399,-21.48148148148148,-27.397260273972602,-81.20567375886525,83.33333333333334,69.12940323217956,277.0,full,usable,2026-08-19,rejected,38.43,100.0,,,47.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CYRX,"CryoPort, Inc. - Common Stock",nasdaqtrader:Q:CYRX,SECURITY:CYRX:nasdaqtrader:Q:CYRX,,common_equity,eligible,Q,,,16.31,16.57,,12238754.758888887,0.4310344827586299,25.1726784343822,90.53738317757008,85.55176336746304,1.5691007845504035,43.48754182878784,277.0,full,usable,2026-08-19,conditional,52.0,100.0,,,73.0,10.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
CYTK,"Cytokinetics, Incorporated - Common Stock",nasdaqtrader:Q:CYTK,SECURITY:CYTK:nasdaqtrader:Q:CYTK,,common_equity,eligible,Q,,,77.74,87.26,,160863645.62595236,-4.154851436321049,1.6873773708306006,16.064496864735723,99.58921694480101,10.909924363969758,34.34478776641959,277.0,full,usable,2026-08-19,conditional,87.57,100.0,,,85.0,82.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
