ticker,company,contract_id,issuer_id,issuer_cik,security_type,instrument_status,exchange,sector,industry,current_price,reference_52w_high,market_cap,avg_dollar_volume,return_1m_pct,return_3m_pct,return_6m_pct,return_12m_pct,drawdown_pct,historical_volatility_pct,trading_history_days,momentum_history_status,data_integrity_status,as_of,l2_status,l2_setup_score,l2_confidence_pct,l2_quality_prior_score,l2_room_to_target_score,setup_prior_growth,setup_pullback_geometry,setup_liquidity,setup_data_completeness,setup_model_version,l2_rules_hash
QVCG,"QVC Group, Inc. - Common Stock",nasdaqtrader:Q:QVCG,SECURITY:QVCG:nasdaqtrader:Q:QVCG,,common_equity,eligible,Q,,,15.4,19.49,,4587409.42,,,,,20.98512057465366,,6.0,insufficient,usable,2026-08-17,recheck,,71.43,,,,92.0,45.0,64.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
QXL,Quantum X Labs Inc. - Common Stock,nasdaqtrader:Q:QXL,SECURITY:QXL:nasdaqtrader:Q:QXL,,common_equity,eligible,Q,,,4.66,15.24,,641430.3844444444,-3.118503118503113,30.16759776536313,-31.470588235294116,-68.59838274932615,69.4225721784777,90.35551037629084,276.0,full,usable,2026-08-17,rejected,40.71,100.0,,,55.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
QXO,"QXO, Inc. Common Stock",nasdaqtrader:N:QXO,SECURITY:QXO:nasdaqtrader:N:QXO,,common_equity,eligible,N,,,13.98,27.07,,351178467.71809524,-2.9166666666666674,-14.390691977954672,-48.356113779091245,-33.4919124643197,48.356113779091245,67.43997801247299,276.0,full,usable,2026-08-17,conditional,87.07,100.0,,,67.0,95.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
R,"Ryder System, Inc. Common Stock",nasdaqtrader:N:R,SECURITY:R:nasdaqtrader:N:R,,common_equity,eligible,N,,,264.7,280.34,,98482366.21222222,-2.6193804723714242,14.633406955090722,23.824671375777683,45.35171050464004,5.578939858742949,24.311265748201414,276.0,full,usable,2026-08-17,conditional,60.0,100.0,,,65.0,28.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RACC,Research Alliance Corporation III - Class A Ordinary Shares,nasdaqtrader:Q:RACC,NAMECLASS:RESEARCH ALLIANCE CORPORATION III,,common_equity,eligible,Q,,,26.7,29.3,,624742.9971819673,139.89218328840968,,,,8.87372013651878,119.02613369770285,61.0,insufficient,usable,2026-08-17,rejected,,71.43,,,,82.0,0.0,76.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RACD,Research Alliance Corporation IV - Class A Ordinary Shares,nasdaqtrader:Q:RACD,NAMECLASS:RESEARCH ALLIANCE CORPORATION IV,,common_equity,eligible,Q,,,11.9,11.9,,344988.3618923077,14.423076923076916,,,,0.0,,26.0,insufficient,usable,2026-08-17,rejected,,71.43,,,,10.0,0.0,64.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RACE,Ferrari N.V. Common Shares,nasdaqtrader:N:RACE,SECURITY:RACE:nasdaqtrader:N:RACE,,common_equity,eligible,N,,,417.1,504.09,,210693030.01015872,10.686516466311069,29.856787048567888,10.029545214730406,-10.190986801024904,17.25683905651768,28.49799367263945,276.0,full,usable,2026-08-17,conditional,80.71,100.0,,,61.0,82.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RADX,Radiopharm Theranostics Limited - American Depositary Shares,nasdaqtrader:Q:RADX,SECURITY:RADX:nasdaqtrader:Q:RADX,,adr,eligible,Q,,,2.67,10.63,,228668.69016666667,-39.729119638826184,-43.31210191082803,-45.51020408163266,-46.75972083748754,74.8824082784572,71.65128688039422,276.0,full,usable,2026-08-17,rejected,44.14,100.0,,,67.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RAIL,"Freightcar America, Inc. - Common Stock",nasdaqtrader:Q:RAIL,SECURITY:RAIL:nasdaqtrader:Q:RAIL,,common_equity,eligible,Q,,,7.42,14.8,,2015352.7931746033,-1.3297872340425454,-6.549118387909325,-43.95770392749245,-17.738359201773836,49.86486486486486,48.56116407552745,276.0,full,usable,2026-08-17,conditional,78.71,100.0,,,73.0,95.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RAL,Ralliant Corporation Common Stock,nasdaqtrader:N:RAL,SECURITY:RAL:nasdaqtrader:N:RAL,,common_equity,eligible,N,,,71.97,73.63,,109749975.10555555,2.5651988029072204,21.263689974726184,63.08633582596872,65.10667584308325,2.254515822355019,30.580833414807255,276.0,full,usable,2026-08-17,conditional,58.43,100.0,,,73.0,10.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RAMP,"LiveRamp Holdings, Inc. Common Stock",nasdaqtrader:N:RAMP,SECURITY:RAMP:nasdaqtrader:N:RAMP,,common_equity,eligible,N,,,37.68,38.01,,64065518.215555556,-0.5279831045406636,27.039784221173303,54.67980295566504,46.04651162790696,0.8681925808997626,4.69058820622131,276.0,full,usable,2026-08-17,conditional,53.57,100.0,,,65.0,10.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RAPP,"Rapport Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:RAPP,SECURITY:RAPP:nasdaqtrader:Q:RAPP,,common_equity,eligible,Q,,,48.42,48.82,,14252738.52563492,13.608634443923062,30.61775020231994,73.36197636949518,224.09638554216872,0.8193363375665674,55.00894757364803,276.0,full,usable,2026-08-17,conditional,52.0,100.0,,,73.0,10.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
RARE,Ultragenyx Pharmaceutical Inc. - Common Stock,nasdaqtrader:Q:RARE,SECURITY:RARE:nasdaqtrader:Q:RARE,,common_equity,eligible,Q,,,26.13,36.54,,62470478.4268254,-10.758196721311485,4.519999999999991,27.339181286549707,-9.927611168562578,28.48932676518884,44.08876694132595,276.0,full,usable,2026-08-17,conditional,82.29,100.0,,,63.0,92.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
