ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
XLE,State Street Energy Select Sector SPDR ETF,US:XLE,etf,eligible,P,,,61.91,,1902914195.711746,8.57593826727463,6.612708799724465,14.690626157836228,44.58197104156936,1.039002557544766,23.788440165797457,277,full,usable,2026-08-14,percent,not_applicable,
XLF,State Street Financial Select Sector SPDR ETF,US:XLF,etf,eligible,P,,,58.16,,1863540109.2498415,2.4845814977973557,13.39442386430103,12.516927839040438,10.235026535253988,0.1716443529007905,11.681625463137529,277,full,usable,2026-08-14,percent,not_applicable,
XLI,State Street Industrial Select Sector SPDR ETF,US:XLI,etf,eligible,P,,,186.51,,1301145356.5366666,3.5303913405495324,6.876396768093529,7.965267727930536,22.317681007345236,0.0,16.173895267883136,277,full,usable,2026-08-14,percent,not_applicable,
XLK,State Street Technology Select Sector SPDR ETF,US:XLK,etf,eligible,P,,,190.01,,2112011501.5555556,7.0358269490761405,5.855153203342622,36.49163134832267,41.6293977340489,4.137026386156107,31.33371047449978,277,full,usable,2026-08-14,percent,not_applicable,
XLO,"Xilio Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:XLO,common_equity,eligible,Q,,,9.17,,312109.3849206349,1.5503875968992276,4.086265607264461,9.85982987899845,-8.391608391608385,24.08940397350994,30.004968322999904,277,full,usable,2026-08-14,percent,deferred,
XLP,State Street Consumer Staples Select Sector SPDR ETF,US:XLP,etf,eligible,P,,,86.09,,978720176.9442856,0.32630229576973147,1.3061896916921611,-3.497365766169702,4.187341159385216,4.35507165870459,17.01150862727666,277,full,usable,2026-08-14,percent,not_applicable,
XLRE,State Street Real Estate Select Sector SPDR ETF,US:XLRE,etf,eligible,P,,,45.27,,229242188.98063493,-0.41794984601847274,3.0972443634707414,5.598320503848853,9.480048367593707,1.6083460117365722,14.537118965935978,277,full,usable,2026-08-14,percent,not_applicable,
XLU,State Street Utilities Select Sector SPDR ETF,US:XLU,etf,eligible,P,,,44.31,,906473626.0746031,-2.5511326149109226,-1.3140311804008875,-2.0773480662983346,2.474560592044406,7.165304839723429,13.322970828427197,277,full,usable,2026-08-14,percent,not_applicable,
XLV,State Street Health Care Select Sector SPDR ETF,US:XLV,etf,eligible,P,,,167.37,,1623692616.384127,3.442521631644002,14.144445202209655,7.288461538461544,25.568309700652712,0.6352410353835158,17.016585310368058,277,full,usable,2026-08-14,percent,not_applicable,
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,US:XLY,etf,eligible,P,,,118.2,,920676319.6236508,0.7329129026759862,-0.3960562905536369,1.7824851459571134,2.84521012790393,5.075489881143591,22.323948781554957,277,full,usable,2026-08-14,percent,not_applicable,
