ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
TP,Ticketplus Ltd. Ordinary Shares,nasdaqtrader:A:TP,common_equity,eligible,A,,,7.1,,470363.6450555555,,,,,6.455862977602111,,9,insufficient,usable,2026-08-19,percent,deferred,
TPB,"Turning Point Brands, Inc. Common Stock",nasdaqtrader:N:TPB,common_equity,eligible,N,,,88.26,,33725927.50174603,10.93514328808447,-1.0981622590766404,-33.44393333836061,-10.53218449062342,38.271086865295835,51.931269811303814,277,full,usable,2026-08-19,percent,deferred,
TPC,Tutor Perini Corporation Common Stock,nasdaqtrader:N:TPC,common_equity,eligible,N,,,90.33,,60072265.084285714,4.090804332795561,20.58470164197037,11.38101109741061,57.25974930362116,8.85884370901019,61.34353766932907,277,full,usable,2026-08-19,percent,deferred,
TPCS,TechPrecision Corporation - Common stock,nasdaqtrader:Q:TPCS,common_equity,eligible,Q,,,5.82,,258036.97325396826,23.305084745762716,51.958224543080945,43.70370370370371,9.604519774011312,6.581059390048161,72.56912527029102,277,full,usable,2026-08-19,percent,deferred,
TPET,Trio Petroleum Corp. Common Stock,nasdaqtrader:A:TPET,common_equity,eligible,A,,,0.2046,,1100581.7758888889,-35.761381475667186,-48.20253164556962,-51.53955471340596,-81.73214285714285,89.50769230769231,95.1745880295211,277,full,usable,2026-08-19,percent,deferred,
TPG,TPG Inc. - Class A Common Stock,nasdaqtrader:Q:TPG,common_equity,eligible,Q,,,53.18,,115141760.64857142,24.136321195144706,32.05860442016388,10.930329578639974,-14.843875100080073,23.657766293425208,42.78168993273855,277,full,usable,2026-08-19,percent,deferred,
TPL,Texas Pacific Land Corporation Common Stock,nasdaqtrader:N:TPL,common_equity,eligible,N,,,373.18,,156521880.65158728,-10.916425962617271,-5.421091314595627,-15.323001520274094,25.501933748108275,30.865707034217003,47.41684047651465,277,full,usable,2026-08-19,percent,deferred,
TPR,"Tapestry, Inc. Common Stock",nasdaqtrader:N:TPR,common_equity,eligible,N,,,131.72,,393665385.28174603,-7.3438379290939775,0.06837347109320824,-15.019354838709676,31.838654789310382,20.06311445563782,62.046225922730805,277,full,usable,2026-08-19,percent,deferred,
TR,"Tootsie Roll Industries, Inc. Common Stock",nasdaqtrader:N:TR,common_equity,eligible,N,,,41.25,,8879100.668095239,6.122974015950611,0.9544787077826689,-0.76978590329565,5.959414333418955,7.944655210890428,21.637187981100865,277,full,usable,2026-08-19,percent,deferred,
TRAD,APEX Tech Acquisition Inc. Ordinary Shares,nasdaqtrader:N:TRAD,common_equity,eligible,N,,,10.0399,,27367.69038095238,0.8022088353413448,1.1067472306143022,,,0.0009960159362498722,6.247550435234196,85,insufficient,usable,2026-08-19,percent,deferred,
TRAK,"ReposiTrak, Inc. Common Stock",nasdaqtrader:N:TRAK,common_equity,eligible,N,,,8.14,,617347.1817460317,-3.210463733650415,-17.36040609137055,-11.52173913043477,-51.25748502994012,54.26966292134831,37.999962595461376,277,full,usable,2026-08-19,percent,deferred,
TRAX,"First Tracks Biotherapeutics, Inc. - Ordinary Shares",nasdaqtrader:Q:TRAX,common_equity,eligible,Q,,,45.5,,22730857.43920635,21.755418785121773,173.109243697479,,,5.050083472454093,150.87419800746574,95,insufficient,usable,2026-08-19,percent,deferred,
TRC,Tejon Ranch Co Common Stock,nasdaqtrader:N:TRC,common_equity,eligible,N,,,16.53,,2141413.983650794,-7.8081427774679195,-13.951067152524722,-2.015411973918202,-3.3333333333333326,19.287109375,17.061841726469883,277,full,usable,2026-08-19,percent,deferred,
TRDA,"Entrada Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:TRDA,common_equity,eligible,Q,,,7.78,,2517097.6107936506,20.433436532507756,37.69911504424779,-29.528985507246365,40.94202898550727,51.46600124766063,71.70057520689085,277,full,usable,2026-08-19,percent,deferred,
