ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
SRXH,SRX Global Inc. Common Stock,nasdaqtrader:A:SRXH,common_equity,eligible,A,,,1.89,,12005396.116,-18.884120171673825,-74.8,-78.78787878787878,-88.36923076923077,94.59691252144083,202.02720778240226,276,full,usable,2026-08-17,percent,deferred,
SRZN,"Surrozen, Inc. - Common Stock",nasdaqtrader:Q:SRZN,common_equity,eligible,Q,,,23.78,,4440782.17952381,8.287795992714031,-15.523978685612782,-2.8594771241830075,119.17050691244242,30.32522707295634,73.55122440912861,276,full,usable,2026-08-17,percent,deferred,
SSB,SouthState Bank Corporation Common Stock,nasdaqtrader:N:SSB,common_equity,eligible,N,,,110.82,,84115311.66158731,7.394127337920331,20.169160702667522,6.445106137738921,13.626576438019056,0.6900259879917603,22.120248584887133,276,full,usable,2026-08-17,percent,deferred,
SSBI,Summit State Bank - Common Stock,nasdaqtrader:Q:SSBI,common_equity,eligible,Q,,,12.92,,69241.88219206348,-5.139500734214386,-4.296296296296298,-6.983441324694029,7.666666666666666,7.714285714285718,25.763971132173964,276,full,usable,2026-08-17,percent,deferred,
SSD,"Simpson Manufacturing Company, Inc. Common Stock",nasdaqtrader:N:SSD,common_equity,eligible,N,,,195.89,,59712236.92190476,3.5359408033826645,9.668570148919486,-6.2772116166690655,2.4582875673413884,6.745691707131307,31.06635117330142,276,full,usable,2026-08-17,percent,deferred,
SSII,SS Innovations International Inc. - Common Stock,nasdaqtrader:Q:SSII,common_equity,eligible,Q,,,3.76,,247745.05841269842,3.296703296703285,-2.590673575129532,-12.761020881670525,-44.2962962962963,62.3246492985972,57.65859420318038,276,full,usable,2026-08-17,percent,deferred,
SSL,Sasol Ltd. American Depositary Shares,nasdaqtrader:N:SSL,adr,eligible,N,,,11.71,,16502671.96015873,2.990325417766071,-13.387573964497035,47.1105527638191,105.79964850615116,18.054583624912514,42.693706442743,276,full,usable,2026-08-17,percent,optional,
SSM,Sono Group N.V. - Ordinary Shares,nasdaqtrader:Q:SSM,common_equity,eligible,Q,,,2.62,,141235.39034920634,-29.380053908355798,-32.73427471116817,-63.356643356643346,,81.89357290946786,77.3012329090073,238,limited_but_usable,usable,2026-08-17,percent,deferred,
SSMR,Sunshine Silver Mining & Refining Company Common Stock,nasdaqtrader:N:SSMR,common_equity,eligible,N,,,16.0,,3782294.0892156865,23.3616037008481,,,,7.514450867052025,67.76096371560523,51,insufficient,usable,2026-08-17,percent,deferred,
SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",nasdaqtrader:Q:SSNC,common_equity,eligible,Q,,,79.8,,147875092.81301585,14.721104082806203,23.567668008671404,10.694964627548886,-9.163346613545809,11.529933481152998,38.89563964970304,276,full,usable,2026-08-17,percent,deferred,
SSP,E.W. Scripps Company (The) - Class A Common Stock,nasdaqtrader:Q:SSP,common_equity,eligible,Q,,,3.26,,2253168.790714286,5.161290322580636,-3.5502958579881727,-6.321839080459779,9.395973154362402,36.8217054263566,69.69987362107094,276,full,usable,2026-08-17,percent,deferred,
SSRM,SSR Mining Inc. - Common Stock,nasdaqtrader:Q:SSRM,common_equity,eligible,Q,,,32.78,,89163635.29690476,28.1971059835745,4.428161834979294,16.613304873710423,103.85572139303486,8.282036933407944,64.90400163421575,276,full,usable,2026-08-17,percent,deferred,
SST,"System1, Inc. Class A Common Stock",nasdaqtrader:N:SST,common_equity,eligible,N,,,2.21,,418174.0636507936,25.568181818181813,-26.821192052980138,-33.43373493975903,-63.349917081260365,75.22421524663677,157.4647010350529,276,full,usable,2026-08-17,percent,deferred,
SSTI,"SoundThinking, Inc. - Common Stock",nasdaqtrader:Q:SSTI,common_equity,eligible,Q,,,5.58,,1046263.4381746033,-35.04074505238649,-15.70996978851964,-26.385224274406326,-55.431309904153345,56.8445475638051,93.87257148637279,276,full,usable,2026-08-17,percent,deferred,
SSTK,"Shutterstock, Inc. Common Stock",nasdaqtrader:N:SSTK,common_equity,eligible,N,,,5.41,,9483609.305079365,-26.99055330634278,-67.25181598062953,-68.67400115807759,-74.287072243346,79.51533510034078,99.01675983113226,276,full,usable,2026-08-17,percent,deferred,
SSYS,"Stratasys, Ltd. - Common Stock",nasdaqtrader:Q:SSYS,common_equity,eligible,Q,,,8.84,,7407525.602619047,8.5995085995086,3.2710280373831724,-19.416590701914316,-4.12147505422994,28.938906752411576,42.71542922944793,276,full,usable,2026-08-17,percent,deferred,
ST,Sensata Technologies Holding plc Ordinary Shares,nasdaqtrader:N:ST,common_equity,eligible,N,,,45.92,,92889555.05619048,1.9311875693673874,-5.319587628865974,24.511930585683285,41.4228518632584,14.24836601307189,33.077406581497485,276,full,usable,2026-08-17,percent,deferred,
STAA,STAAR Surgical Company - Common Stock,nasdaqtrader:Q:STAA,common_equity,eligible,Q,,,24.09,,23990954.753968254,-8.88804841149774,-24.883068288119738,49.627329192546576,-15.680784039201956,27.744451109778055,62.31308379942606,276,full,usable,2026-08-17,percent,deferred,
STAG,"Stag Industrial, Inc. Common Stock",nasdaqtrader:N:STAG,common_equity,eligible,N,,,36.8,,59117562.09095238,-11.708253358925147,-2.5681758009001965,-3.3105622700998594,5.716748060902033,12.46431969552807,25.579467416642483,276,full,usable,2026-08-17,percent,deferred,
STAK,STAK Inc. - Class A Ordinary Shares,nasdaqtrader:Q:STAK,common_equity,eligible,Q,,,1.56,,21206087.984365076,-18.74999999999999,39.28571428571428,372.1549636803874,-1.2658227848101222,83.1715210355987,758.6609370451985,276,full,usable,2026-08-17,percent,deferred,
STBA,"S&T Bancorp, Inc. - Common Stock",nasdaqtrader:Q:STBA,common_equity,eligible,Q,,,51.0,,12861832.459206348,2.061236742045236,17.782909930715938,16.758241758241766,34.03416557161631,4.422788605697148,19.552881795339662,276,full,usable,2026-08-17,percent,deferred,
STC,Stewart Information Services Corporation Common Stock,nasdaqtrader:N:STC,common_equity,eligible,N,,,68.07,,15353940.859523809,-5.458333333333343,1.9164545590657056,-1.902291396454836,-4.996510816468969,11.792147207464055,41.5221051134957,276,full,usable,2026-08-17,percent,deferred,
STDN,"Standard Nuclear, Inc. Class A Common Stock",nasdaqtrader:N:STDN,common_equity,eligible,N,,,13.31,,13205012.50826087,27.98076923076922,,,,0.0,,23,insufficient,usable,2026-08-17,percent,deferred,
STE,STERIS plc (Ireland) Ordinary Shares,nasdaqtrader:N:STE,common_equity,eligible,N,,,229.75,,173446904.63492063,5.467315460888722,8.316439583235113,-7.48943023958123,-6.658812058178265,14.479806439605426,31.851586516649977,276,full,usable,2026-08-17,percent,deferred,
STEM,"Stem, Inc. Class A Common Stock",nasdaqtrader:N:STEM,common_equity,eligible,N,,,6.1,,1040144.7595238095,-2.5559105431309903,-30.285714285714292,-46.01769911504425,-58.50340136054422,79.52332997650218,78.23928006318067,276,full,usable,2026-08-17,percent,deferred,
STEP,StepStone Group Inc. - Class A Common Stock,nasdaqtrader:Q:STEP,common_equity,eligible,Q,,,48.28,,68763631.49452381,10.861079219288182,-9.82443033246171,-14.94009866102889,-22.41684075204885,36.69857086665792,59.31034118708709,276,full,usable,2026-08-17,percent,deferred,
