ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
QUIK,QuickLogic Corporation - Common Stock,nasdaqtrader:Q:QUIK,common_equity,eligible,Q,,,11.34,,7198036.376507937,-17.76649746192893,-44.57478005865103,38.970588235294116,101.77935943060498,52.23251895534962,76.61894809311659,277,full,usable,2026-08-20,percent,deferred,
QURE,uniQure N.V. - Ordinary Shares,nasdaqtrader:Q:QURE,common_equity,eligible,Q,,,48.9,,78275127.65523809,21.09955423476968,98.78048780487802,100.40983606557377,218.98238747553816,30.726731831704214,47.71117718898405,277,full,usable,2026-08-20,percent,deferred,
QVCG,"QVC Group, Inc. - Common Stock",nasdaqtrader:Q:QVCG,common_equity,eligible,Q,,,15.8,,3624316.5466666664,,,,,18.932786044125184,,9,insufficient,usable,2026-08-20,percent,deferred,
QXL,Quantum X Labs Inc. - Common Stock,nasdaqtrader:Q:QXL,common_equity,eligible,Q,,,4.46,,641430.6315873016,-6.8893528183716075,17.989417989418,-35.17441860465116,-64.937106918239,70.73490813648293,89.38572905077098,277,full,usable,2026-08-20,percent,deferred,
QXO,"QXO, Inc. Common Stock",nasdaqtrader:N:QXO,common_equity,eligible,N,,,13.34,,346815654.1301587,-3.6823104693140762,-22.576900754497974,-49.122807017543856,-34.285714285714285,50.72035463612856,69.76844539940986,277,full,usable,2026-08-20,percent,deferred,
R,"Ryder System, Inc. Common Stock",nasdaqtrader:N:R,common_equity,eligible,N,,,247.85,,97251429.9209524,-10.319499222057393,5.562417479449722,13.00323713126339,36.73728346022289,11.58949846614824,26.10879432173499,277,full,usable,2026-08-20,percent,deferred,
RACC,Research Alliance Corporation III - Class A Ordinary Shares,nasdaqtrader:Q:RACC,common_equity,eligible,Q,,,22.9,,522180.0713984127,107.99273387829244,122.33009708737863,,,21.843003412969285,124.90523393196096,64,insufficient,usable,2026-08-20,percent,deferred,
RACD,Research Alliance Corporation IV - Class A Ordinary Shares,nasdaqtrader:Q:RACD,common_equity,eligible,Q,,,11.99,,318468.25066206895,15.28846153846153,,,,0.16652789342214147,,29,insufficient,usable,2026-08-20,percent,deferred,
RACE,Ferrari N.V. Common Shares,nasdaqtrader:N:RACE,common_equity,eligible,N,,,428.37,,209544750.3215873,15.274077662065055,25.324010415142915,16.881309686221012,-9.147401908801701,15.021127179670291,27.71993662831068,277,full,usable,2026-08-20,percent,deferred,
RADX,Radiopharm Theranostics Limited - American Depositary Shares,nasdaqtrader:Q:RADX,adr,eligible,Q,,,2.29,,228700.9181031746,-46.620046620046615,-50.0,-54.38247011952191,-54.38247011952191,78.45719661335842,74.02676657499484,277,full,usable,2026-08-20,percent,optional,
RAIL,"Freightcar America, Inc. - Common Stock",nasdaqtrader:Q:RAIL,common_equity,eligible,Q,,,7.22,,2034775.0823809523,-11.519607843137258,-5.867014341590615,-45.26156178923427,-10.310559006211195,51.21621621621622,46.54233612506928,277,full,usable,2026-08-20,percent,deferred,
RAL,Ralliant Corporation Common Stock,nasdaqtrader:N:RAL,common_equity,eligible,N,,,63.93,,108721453.56412698,-8.866714183891666,7.175188600167637,45.992235670244355,49.22969187675068,13.173977998098596,34.91135093906754,277,full,usable,2026-08-20,percent,deferred,
RAMP,"LiveRamp Holdings, Inc. Common Stock",nasdaqtrader:N:RAMP,common_equity,eligible,N,,,37.65,,52811678.976349205,-0.026553372278270704,-0.2120328650940806,48.814229249011845,40.43267437523313,0.9471191791633804,5.383661440898299,277,full,usable,2026-08-20,percent,deferred,
RAPP,"Rapport Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:RAPP,common_equity,eligible,Q,,,47.915,,14311161.601904761,15.93273651100895,34.14053751399777,59.76992330776927,236.48174157303367,2.3537803138373725,53.33878335874932,277,full,usable,2026-08-20,percent,deferred,
RARE,Ultragenyx Pharmaceutical Inc. - Common Stock,nasdaqtrader:Q:RARE,common_equity,eligible,Q,,,25.32,,63995843.55841269,-8.410200759631037,8.34403080872914,15.98717361429227,-13.049450549450547,30.706075533661735,40.574448071613936,277,full,usable,2026-08-20,percent,deferred,
RAVE,"Rave Restaurant Group, Inc. - Common Stock",nasdaqtrader:Q:RAVE,common_equity,eligible,Q,,,3.1383,,161079.41314761905,-3.7331288343558144,9.730769230769232,-0.9999999999999898,14.536496350364958,13.782967032967031,30.20706150405304,277,full,usable,2026-08-20,percent,deferred,
RAY,Raytech Holding Limited - Ordinary Shares,nasdaqtrader:Q:RAY,common_equity,eligible,Q,,,2.82,,34258.38202698413,-7.540983606557372,-23.989218328840977,-32.696897374701685,-93.44795539033457,94.36900958466454,127.27323849757542,277,full,usable,2026-08-20,percent,deferred,
RAYA,Erayak Power Solution Group Inc. - Class A Ordinary Shares,nasdaqtrader:Q:RAYA,common_equity,eligible,Q,,,2.28,,146646.7891888889,-12.307692307692319,-24.752475247524753,-73.1764705882353,-98.20075757575758,98.54238588415804,75.87301573069809,277,full,usable,2026-08-20,percent,deferred,
RBA,"RB Global, Inc. Common Stock",nasdaqtrader:N:RBA,common_equity,eligible,N,,,87.39,,144316782.5220635,-20.921183603293827,-16.413199426111902,-15.71993441990549,-23.92931754874651,26.649320127581,55.846714376587734,277,full,usable,2026-08-20,percent,deferred,
RBB,RBB Bancorp - Common Stock,nasdaqtrader:Q:RBB,common_equity,eligible,Q,,,26.59,,5132384.348888889,0.52930056710776,12.574089754445383,20.53490480507707,35.94069529652353,4.76361031518625,19.476831137441152,277,full,usable,2026-08-20,percent,deferred,
RBBN,Ribbon Communications Inc.  - Common Stock,nasdaqtrader:Q:RBBN,common_equity,eligible,Q,,,2.0,,2218070.516507936,-7.407407407407418,-23.37164750957854,-1.477832512315258,-46.524064171123,51.92307692307693,53.825169178273626,277,full,usable,2026-08-20,percent,deferred,
RBC,RBC Bearings Incorporated Common Stock,nasdaqtrader:N:RBC,common_equity,eligible,N,,,504.61,,150277925.43079364,-14.689771766694836,-11.634707994046046,-8.488992056871336,26.846987255222345,22.23489343340165,29.568458351886633,277,full,usable,2026-08-20,percent,deferred,
RBCAA,"Republic Bancorp, Inc. - Class A Common Stock",nasdaqtrader:Q:RBCAA,common_equity,eligible,Q,,,94.34,,9886178.60547619,4.116543427877728,20.28560499808747,31.63108692618948,30.484094052558785,6.259936406995226,25.770427324428457,277,full,usable,2026-08-20,percent,deferred,
RBKB,"Rhinebeck Bancorp, Inc. - Common Stock",nasdaqtrader:Q:RBKB,common_equity,eligible,Q,,,12.69,,1328664.7322222223,5.398671096345509,-19.428571428571427,-17.3828125,1.7642341619887647,28.101983002832853,114.02504470197947,277,full,usable,2026-08-20,percent,deferred,
