ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
AMIX,"Autonomix Medical, Inc. - Common Stock",nasdaqtrader:Q:AMIX,common_equity,eligible,Q,,,6.17,,47526869.43288889,45.86288416075648,-6.755327187547233,-19.786791471658873,-73.9991571849979,76.68178382464097,555.6122241173082,277,full,usable,2026-08-18,percent,deferred,
AMKR,"Amkor Technology, Inc. - Common Stock",nasdaqtrader:Q:AMKR,common_equity,eligible,Q,,,54.84,,390659149.54650795,-12.34015345268542,-16.959418534221683,17.079419299743815,130.8080808080808,41.378941742383745,118.18769056316336,277,full,usable,2026-08-18,percent,deferred,
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",nasdaqtrader:Q:AMLX,common_equity,eligible,Q,,,35.11,,42893705.74952381,101.20343839541546,173.0171073094868,148.47841472045295,338.875,0.0,155.26315897698885,277,full,usable,2026-08-18,percent,deferred,
AMN,AMN Healthcare Services Inc,qrgf-resolution-required:N:AMN,common_equity,eligible,N,,,34.54,,29605535.556825396,2.3104265402843716,19.681219681219673,110.73825503355704,82.5581395348837,5.628415300546452,71.49765245544882,277,full,usable,2026-08-18,percent,deferred,
AMP,"Ameriprise Financial, Inc. Common Stock",nasdaqtrader:N:AMP,common_equity,eligible,N,,,562.12,,313207290.836508,6.822241647979932,19.300479646844092,19.91125901275652,11.73570803848294,1.4999649540898496,20.10412912430751,277,full,usable,2026-08-18,percent,deferred,
AMPG,"Amplitech Group, Inc. - Common Stock",nasdaqtrader:Q:AMPG,common_equity,eligible,Q,,,3.53,,30294931.015714284,-43.247588424437296,-4.594594594594604,32.706766917293216,13.87096774193548,63.60824742268041,154.11104636863368,277,full,usable,2026-08-18,percent,deferred,
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",nasdaqtrader:Q:AMPH,common_equity,eligible,Q,,,21.34,,10843166.530079365,8.711156393275598,24.069767441860467,-24.99121265377856,-28.461280590010052,30.73677377474846,39.9319091418633,277,full,usable,2026-08-18,percent,deferred,
AMPL,"Amplitude, Inc. - Class A Common Stock",nasdaqtrader:Q:AMPL,common_equity,eligible,Q,,,12.59,,21686473.71031746,28.077314343845373,98.26771653543307,98.58044164037855,9.764603312990406,5.338345864661664,70.13303042146126,277,full,usable,2026-08-18,percent,deferred,
AMPX,"Amprius Technologies, Inc. Common Stock",nasdaqtrader:N:AMPX,common_equity,eligible,N,,,10.71,,107550791.3595238,5.621301775147924,-32.5141776937618,9.621289662231325,50.63291139240506,53.25185508511567,89.63463357459021,277,full,usable,2026-08-18,percent,deferred,
AMPY,Amplify Energy Corp. Common Stock,nasdaqtrader:N:AMPY,common_equity,eligible,N,,,4.82,,3632235.4225396826,22.646310432569972,-8.190476190476181,-6.769825918762084,16.707021791767573,27.300150829562586,55.07231556151664,277,full,usable,2026-08-18,percent,deferred,
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",nasdaqtrader:N:AMR,common_equity,eligible,N,,,169.44,,46138382.502698414,17.863105175292148,-7.054306088864514,-6.598313213163554,15.493149751209856,32.12898057280192,42.833577051556574,277,full,usable,2026-08-18,percent,deferred,
AMRC,"Ameresco, Inc. Class A Common Stock",nasdaqtrader:N:AMRC,common_equity,eligible,N,,,25.49,,17239121.00031746,13.037694013303769,-17.827208252740167,-21.545090797168363,18.94540363975734,41.03631737219523,98.72017757105289,277,full,usable,2026-08-18,percent,deferred,
AMRN,Amarin Corporation plc - American Depositary Shares,nasdaqtrader:Q:AMRN,adr,eligible,Q,,,14.13,,1087281.9736507938,3.89705882352942,0.4978662873399653,-9.654731457800514,-9.712460063897765,30.222222222222218,20.971653767445865,277,full,usable,2026-08-18,percent,optional,
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",nasdaqtrader:Q:AMRX,common_equity,eligible,Q,,,18.19,,33432220.041349206,3.942857142857159,52.6006711409396,19.749835418038188,92.48677248677251,4.764397905759166,38.77989990114272,277,full,usable,2026-08-18,percent,deferred,
AMRZ,Amrize Ltd Ordinary Shares,nasdaqtrader:N:AMRZ,common_equity,eligible,N,,,44.63,,169848876.53666666,-8.526337364213976,-10.092667203867844,-22.23383864784806,-13.137407551576485,32.235044032796836,42.261759203359404,277,full,usable,2026-08-18,percent,deferred,
AMS,American Shared Hospital Services Common Stock,nasdaqtrader:A:AMS,common_equity,eligible,A,,,1.51,,178160.63339682537,2.7210884353741527,7.857142857142874,-31.36363636363637,-42.36641221374045,50.32894736842105,47.560097745290165,277,full,usable,2026-08-18,percent,deferred,
AMSC,American Superconductor Corporation - Common Stock,nasdaqtrader:Q:AMSC,common_equity,eligible,Q,,,31.02,,40245163.37984127,-4.583205167640725,-38.14556331006978,-15.384615384615374,-41.537881643422544,53.47930413917217,69.77114421117834,277,full,usable,2026-08-18,percent,deferred,
AMSF,"AMERISAFE, Inc. - Common Stock",nasdaqtrader:Q:AMSF,common_equity,eligible,Q,,,26.53,,8807027.031111112,-22.63050452026829,-15.590200445434299,-30.513357778941852,-41.22729286663712,43.851851851851855,39.861973126515444,277,full,usable,2026-08-18,percent,deferred,
AMST,Amesite Inc. - Common Stock,nasdaqtrader:Q:AMST,common_equity,eligible,Q,,,0.945,,4665789.529776191,-7.352941176470596,20.213713268032052,-47.79005524861879,-67.1875,75.5813953488372,66.82082217670472,277,full,usable,2026-08-18,percent,deferred,
AMT,American Tower Corporation (REIT) Common Stock,nasdaqtrader:N:AMT,common_equity,eligible,N,,,172.33,,559915193.2195238,3.154555249610924,-2.792193140794219,-10.751463048319431,-16.393363089462444,18.666226165754196,27.953960933478804,277,full,usable,2026-08-18,percent,deferred,
AMTB,Amerant Bancorp Inc. Class A Common Stock,nasdaqtrader:N:AMTB,common_equity,eligible,N,,,29.16,,9545756.568095237,13.110938712179987,29.542425588627275,28.288605367355913,46.90176322418136,4.643557880967952,37.058230866541955,277,full,usable,2026-08-18,percent,deferred,
AMTD,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",nasdaqtrader:N:AMTD,adr,eligible,N,,,0.7471,,16332.164777777776,-10.23669349993993,-26.754901960784316,-26.754901960784316,-30.177570093457952,43.831290880384934,62.53225043298571,277,full,usable,2026-08-18,percent,optional,
AMTM,"Amentum Holdings, Inc. Common Stock",nasdaqtrader:N:AMTM,common_equity,eligible,N,,,20.95,,46377872.30888889,-0.9924385633270361,-10.047230571060538,-30.282861896838607,-16.79904686258936,44.17799094058087,50.49506359467155,277,full,usable,2026-08-18,percent,deferred,
AMTX,"Aemetis, Inc - Common Stock",nasdaqtrader:Q:AMTX,common_equity,eligible,Q,,,1.86,,2166751.561984127,27.397260273972623,-14.678899082568808,24.0,-25.30120481927711,49.18032786885246,83.52217354720358,277,full,usable,2026-08-18,percent,deferred,
AMWL,American Well Corporation Class A Common Stock,nasdaqtrader:N:AMWL,common_equity,eligible,N,,,12.2,,1312869.8042857144,-3.020667726550086,57.21649484536082,120.61482820976491,70.6293706293706,10.162002945508108,105.22341395803947,277,full,usable,2026-08-18,percent,deferred,
AMX,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",nasdaqtrader:N:AMX,adr,eligible,N,,,23.63,,43187664.837460324,-9.463601532567056,-12.090773809523814,-2.9170090386195557,23.782084861183872,14.846846846846852,19.15447359778494,277,full,usable,2026-08-18,percent,optional,
AMZE,"Amaze Holdings, Inc. Common Stock",nasdaqtrader:A:AMZE,common_equity,eligible,A,,,0.2015,,1419199.236015873,-72.74080086580086,-82.58426966292134,-92.54256106587712,-99.26136363636363,99.26992753623189,287.1075842152042,277,full,usable,2026-08-18,percent,deferred,
AMZN,"Amazon.com, Inc. - Common Stock",nasdaqtrader:Q:AMZN,common_equity,eligible,Q,,,259.45,,12478394402.147142,3.7841513660546333,-2.042588537340495,28.983345761869252,12.3014327143661,8.65079923949017,51.513478422435895,277,full,usable,2026-08-18,percent,deferred,
AN,"AutoNation, Inc. Common Stock",nasdaqtrader:N:AN,common_equity,eligible,N,,,196.9,,81420382.39031747,-0.5103329796372069,8.222490931076187,-1.623782163377463,-4.500921524881174,14.383859466040516,40.04529100052993,277,full,usable,2026-08-18,percent,deferred,
ANAB,"AnaptysBio, Inc. - Common Stock",nasdaqtrader:Q:ANAB,common_equity,eligible,Q,,,58.99,,35366451.20309524,17.299661960628356,0.42560435818863596,9.861253375547086,192.8997020854022,15.992594702363993,79.61312996231827,277,full,usable,2026-08-18,percent,deferred,
ANDE,"The Andersons, Inc. - Common Stock",nasdaqtrader:Q:ANDE,common_equity,eligible,Q,,,68.86,,23304681.294285715,-11.240010311936066,-2.808750882145372,2.7607819728398653,80.64008394543546,14.850995424755787,49.334421899367726,277,full,usable,2026-08-18,percent,deferred,
ANDG,Andersen Group Inc. Class A Common Stock,nasdaqtrader:N:ANDG,common_equity,eligible,N,,,45.75,,14837464.870317461,7.444809769845007,22.654155495978557,111.5117891816921,,8.499999999999996,56.06886785698917,167,limited_but_usable,usable,2026-08-18,percent,deferred,
ANET,"Arista Networks, Inc. Common Stock",nasdaqtrader:N:ANET,common_equity,eligible,N,,,193.18,,1444471302.14,14.071449660466495,36.320654858513855,35.4888483658297,40.69919883466859,8.228028503562946,59.349996017791476,277,full,usable,2026-08-18,percent,deferred,
ANF,Abercrombie & Fitch Company Common Stock,nasdaqtrader:N:ANF,common_equity,eligible,N,,,103.38,,113724189.67301586,9.466327827191856,43.68311327310632,9.850175326745303,10.189725005329354,20.38505968425106,53.52906435426592,277,full,usable,2026-08-18,percent,deferred,
ANGH,Anghami Inc. - Ordinary Shares,nasdaqtrader:Q:ANGH,common_equity,eligible,Q,,,3.34,,133254.1707714286,-1.764705882352946,-4.297994269340988,42.12765957446807,2.1406727828746197,43.38983050847458,54.97508502869479,277,full,usable,2026-08-18,percent,deferred,
ANGI,Angi Inc. - Class A Common Stock,nasdaqtrader:Q:ANGI,common_equity,eligible,Q,,,4.63,,5320013.6911904765,-25.801282051282058,-10.617760617760618,-41.54040404040404,-74.69945355191257,74.9187432286024,102.62060495132725,277,full,usable,2026-08-18,percent,deferred,
ANGO,"AngioDynamics, Inc. - Common Stock",nasdaqtrader:Q:ANGO,common_equity,eligible,Q,,,15.82,,6144622.750079365,15.390226112326765,42.90876242095754,40.497335701598594,80.38768529076398,0.18927444794952786,44.21590494935416,277,full,usable,2026-08-18,percent,deferred,
ANGX,"Angel Studios, Inc. Class A Common Stock",nasdaqtrader:N:ANGX,common_equity,eligible,N,,,4.85,,5045493.549047618,9.977324263038545,81.64794007490637,52.515723270440226,,69.6875,80.13735132459132,235,limited_but_usable,usable,2026-08-18,percent,deferred,
ANIK,Anika Therapeutics Inc. - Common Stock,nasdaqtrader:Q:ANIK,common_equity,eligible,Q,,,21.57,,1471054.447777778,43.227091633466145,44.28093645484952,107.00575815738964,144.28086070215173,2.0880617339990915,61.512613803821814,277,full,usable,2026-08-18,percent,deferred,
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",nasdaqtrader:Q:ANIP,common_equity,eligible,Q,,,76.87,,27174888.425952382,-1.0936695831188836,-3.113183766070071,-2.5728770595690786,-12.118440608208525,22.204230341058594,31.657636025585756,277,full,usable,2026-08-18,percent,deferred,
ANIX,"Anixa Biosciences, Inc. - Common Stock",nasdaqtrader:Q:ANIX,common_equity,eligible,Q,,,3.43,,703686.3733333334,-0.8670520231213841,24.2753623188406,19.097222222222232,15.488215488215484,34.29118773946359,61.49616823635069,277,full,usable,2026-08-18,percent,deferred,
ANL,Adlai Nortye Ltd. - American Depositary Shares,nasdaqtrader:Q:ANL,adr,eligible,Q,,,14.16,,2060205.4112698413,18.196994991652748,21.963824289405686,47.1933471933472,737.8698224852071,14.6987951807229,78.94837164649618,277,full,usable,2026-08-18,percent,optional,
ANNA,"AleAnna, Inc. - Class A Common Stock",nasdaqtrader:Q:ANNA,common_equity,eligible,Q,,,2.75,,985027.333015873,-23.611111111111114,-23.3983286908078,19.047619047619047,-37.4644684479818,73.14453125,80.97012293076294,277,full,usable,2026-08-18,percent,deferred,
ANNX,"Annexon, Inc. - common stock",nasdaqtrader:Q:ANNX,common_equity,eligible,Q,,,5.28,,19635959.491190474,-5.206463195691202,6.451612903225823,4.761904761904767,116.39344262295084,24.13793103448275,72.69181340404984,277,full,usable,2026-08-18,percent,deferred,
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,nasdaqtrader:Q:ANPA,common_equity,eligible,Q,,,4.26,,65471.4009031746,0.23765265065058827,-40.25245441795232,-76.37271214642263,-88.32876712328768,97.30191905757172,106.50776485432264,277,full,usable,2026-08-18,percent,deferred,
ANRO,"Alto Neuroscience, Inc. Common Stock",nasdaqtrader:N:ANRO,common_equity,eligible,N,,,34.13,,13558323.311111111,31.776061776061802,56.559633027522935,77.20664589823467,986.9426751592357,0.0,57.162931565374734,277,full,usable,2026-08-18,percent,deferred,
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,nasdaqtrader:Q:ANTA,common_equity,eligible,Q,,,3.87,,20628.30167936508,-4.207920792079212,-55.00000000000001,-57.37885462555066,-67.77685262281432,71.4391143911439,101.46441862770313,276,full,usable,2026-08-17,percent,deferred,
ANTX,"AN2 Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:ANTX,common_equity,eligible,Q,,,5.97,,1444273.5812698414,24.374999999999993,33.258928571428555,468.5714285714285,457.94392523364485,4.936305732484081,54.91880910642438,277,full,usable,2026-08-18,percent,deferred,
ANVS,"Annovis Bio, Inc. Common Stock",nasdaqtrader:N:ANVS,common_equity,eligible,N,,,1.8,,1790821.8417460318,6.5088757396449815,-12.195121951219502,-24.369747899159655,-34.306569343065696,64.70588235294117,54.523753527446175,277,full,usable,2026-08-18,percent,deferred,
ANY,Sphere 3D Corp. - Common Shares,nasdaqtrader:Q:ANY,common_equity,eligible,Q,,,1.94,,12999350.588571427,21.249999999999993,15.476190476190489,57.72357723577235,-66.54595619934472,81.52380952380952,95.31045209974512,277,full,usable,2026-08-18,percent,deferred,
AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",nasdaqtrader:N:AOMR,common_equity,eligible,N,,,8.82,,1206828.3171428572,-0.3389830508474523,6.521739130434789,-3.5010940919037226,-9.815950920245387,12.238805970149258,22.61319195069735,277,full,usable,2026-08-18,percent,deferred,
AON,Aon plc Class A Ordinary Shares (Ireland),nasdaqtrader:N:AON,common_equity,eligible,N,,,343.2,,503742382.0184127,-5.39721043056397,5.092323238509344,5.288992514418944,-6.487561646821616,9.982688978649746,26.4012209297977,277,full,usable,2026-08-18,percent,deferred,
AORT,"Artivion, Inc. Common Stock",nasdaqtrader:N:AORT,common_equity,eligible,N,,,28.9,,17801195.621587303,13.914071738273549,21.632996632996626,-20.821917808219183,-32.49240831581407,39.32395549023725,45.769489790452596,277,full,usable,2026-08-18,percent,deferred,
