ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
MBRX,"Moleculin Biotech, Inc. - Common Stock",nasdaqtrader:Q:MBRX,common_equity,eligible,Q,,,0.6122,,1600465.0505698414,-71.78801843317973,-72.17272727272727,-85.47912713472485,-96.37107291049199,96.41148886283705,322.0774016857543,277,full,usable,2026-08-14,percent,deferred,
MBUU,"Malibu Boats, Inc. - Common Stock",nasdaqtrader:Q:MBUU,common_equity,eligible,Q,,,29.33,,7286480.600714286,1.3826477704804718,7.672540381791482,-3.96201702685004,-20.643939393939405,25.784412955465598,34.5068544019575,277,full,usable,2026-08-14,percent,deferred,
MBWM,Mercantile Bank Corporation - Common Stock,nasdaqtrader:Q:MBWM,common_equity,eligible,Q,,,61.56,,7854311.380952381,4.782978723404252,20.46966731898239,14.466344365935303,30.56203605514316,0.6776379477250627,22.91847065728003,277,full,usable,2026-08-14,percent,deferred,
MBX,"MBX Biosciences, Inc. - Common Stock",nasdaqtrader:Q:MBX,common_equity,eligible,Q,,,68.57,,38500273.27063493,17.57544581618655,93.91968325791854,80.44736842105263,429.4980694980695,3.0127298444130313,71.99780097319827,277,full,usable,2026-08-14,percent,deferred,
MC,Moelis & Company Class A Common Stock,nasdaqtrader:N:MC,common_equity,eligible,N,,,68.41,,62371610.3231746,-1.2129963898916962,5.636195182211234,5.538414069731568,-8.859579003463903,12.012861736334413,53.230931078372514,277,full,usable,2026-08-14,percent,deferred,
MCB,Metropolitan Bank Holding Corp. Common Stock,nasdaqtrader:N:MCB,common_equity,eligible,N,,,94.04,,13516160.84142857,-7.221783741120746,6.307935790187669,1.5331461887281295,26.909581646423764,7.221783741120746,34.35237186086573,277,full,usable,2026-08-14,percent,deferred,
MCBS,"MetroCity Bankshares, Inc. - Common Stock",nasdaqtrader:Q:MCBS,common_equity,eligible,Q,,,36.24,,3097390.961746032,-2.239007283517669,14.683544303797479,25.48476454293629,24.365133836650664,2.239007283517669,26.79172147370672,277,full,usable,2026-08-14,percent,deferred,
MCD,McDonald's Corporation Common Stock,nasdaqtrader:N:MCD,common_equity,eligible,N,,,272.83,,1259534933.1095238,-0.23038104293132688,-0.778266720005838,-17.842086244278487,-10.568066345428917,20.005277663754185,20.05021781260703,277,full,usable,2026-08-14,percent,deferred,
MCFT,"MasterCraft Boat Holdings, Inc. - Common Stock",nasdaqtrader:Q:MCFT,common_equity,eligible,Q,,,24.98,,3873294.429603175,-0.9123363744545809,1.379870129870131,5.445335584634869,22.450980392156872,8.765522279035787,31.13949597575448,277,full,usable,2026-08-14,percent,deferred,
MCHB,Mechanics Bancorp - Class A Common Stock,nasdaqtrader:Q:MCHB,common_equity,eligible,Q,,,17.08,,9058336.166428572,2.6442307692307487,16.98630136986301,11.561071195297167,28.808446455505266,0.5241700640652547,26.05559780868798,277,full,usable,2026-08-14,percent,deferred,
MCHP,Microchip Technology Incorporated - Common Stock,nasdaqtrader:Q:MCHP,common_equity,eligible,Q,,,79.17,,1025210773.6753969,-3.07296767874633,-18.41508656224238,0.3167764825139363,20.4106463878327,23.076175670423627,66.22393075693272,277,full,usable,2026-08-14,percent,deferred,
MCHX,"Marchex, Inc. - Class B Common Stock",nasdaqtrader:Q:MCHX,common_equity,eligible,Q,,,1.85,,41011.763206349206,0.0,14.197530864197528,17.08860759493671,2.436323366555926,8.866995073891616,53.57063199853297,277,full,usable,2026-08-14,percent,deferred,
MCI,Barings Corporate Investors Common Stock,nasdaqtrader:N:MCI,common_equity,eligible,N,,,17.04,,533586.3794920635,0.35335689045936647,-1.616628175519641,-16.87804878048781,-16.756228627259407,25.49191080017491,14.71589141926839,277,full,usable,2026-08-14,percent,deferred,
MCK,McKesson Corporation Common Stock,nasdaqtrader:N:MCK,common_equity,eligible,N,,,869.0,,900035678.3122222,3.291295717393128,16.296187251582506,-5.131004366812231,31.037290589140042,12.723839749319577,37.0774256912801,277,full,usable,2026-08-14,percent,deferred,
MCO,Moody's Corporation Common Stock,nasdaqtrader:N:MCO,common_equity,eligible,N,,,484.96,,450534195.6053968,-6.562367538823166,12.082832578348878,16.832494157893475,-6.940686584921229,10.127684809399383,25.673604490911533,277,full,usable,2026-08-14,percent,deferred,
MCRB,"Seres Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:MCRB,common_equity,eligible,Q,,,4.54,,549435.4971428572,-12.355212355212352,-43.46201743462017,-44.76885644768856,-71.57169693174703,84.14250785888927,73.27128449237873,277,full,usable,2026-08-14,percent,deferred,
MCRI,"Monarch Casino & Resort, Inc. - Common Stock",nasdaqtrader:Q:MCRI,common_equity,eligible,Q,,,124.08,,20217823.007301588,-1.7188118811881203,6.1601642710472415,32.15464905740759,22.71783206408862,7.3130649137222665,26.714928679911548,277,full,usable,2026-08-14,percent,deferred,
MCRP,Micropolis AI Robotics Ordinary Shares,nasdaqtrader:A:MCRP,common_equity,eligible,A,,,1.04,,919969.7327936508,-14.754098360655732,-64.13793103448275,-65.4485049833887,-52.727272727272734,76.36363636363637,69.57138405079785,277,full,usable,2026-08-14,percent,deferred,
MCS,Marcus Corporation (The) Common Stock,nasdaqtrader:N:MCS,common_equity,eligible,N,,,30.0,,6766746.087301588,33.155792276964036,72.51293847038527,89.99366687777075,94.42644199611148,3.598971722365041,59.47182404711252,277,full,usable,2026-08-14,percent,deferred,
MCTA,Charming Medical Limited - Class A Ordinary Shares,nasdaqtrader:Q:MCTA,common_equity,eligible,Q,,,29.355,,0.0,0.0,0.0,0.0,,0.0,0.0,204,limited_but_usable,usable,2026-08-13,percent,deferred,
MCY,Mercury General Corporation Common Stock,nasdaqtrader:N:MCY,common_equity,eligible,N,,,105.38,,30626984.923174605,-1.9629732998418414,6.843759505221536,11.207260447446178,40.694259012016,5.165586753059759,23.879045678803365,277,full,usable,2026-08-14,percent,deferred,
