ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
INCY,Incyte Corporation - Common Stock,nasdaqtrader:Q:INCY,common_equity,eligible,Q,,,121.55,,207802729.2890476,4.147031102733267,23.32589285714286,12.141341452163479,55.434782608695635,6.449626722081126,35.54698281237957,276,full,usable,2026-08-10,percent,deferred,
INDB,Independent Bank Corp. - Common Stock,nasdaqtrader:Q:INDB,common_equity,eligible,Q,,,83.82,,31623739.73063492,0.13140604467805073,7.186700767263421,-2.5462155563306776,32.73159144893112,3.843065274750501,20.27771936714978,276,full,usable,2026-08-10,percent,deferred,
INDI,"indie Semiconductor, Inc. - Class A Common Stock",nasdaqtrader:Q:INDI,common_equity,eligible,Q,,,3.72,,24895820.11904762,-16.216216216216218,-13.488372093023248,-5.82278481012658,-2.617801047120405,38.0,110.63312282337914,276,full,usable,2026-08-10,percent,deferred,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,nasdaqtrader:A:INDO,common_equity,eligible,A,,,2.92,,1404518.326031746,6.5693430656934115,-5.501618122977348,-17.045454545454554,-0.34129692832765013,56.676557863501486,49.86692293494651,276,full,usable,2026-08-10,percent,deferred,
INDP,"Indaptus Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:INDP,common_equity,eligible,Q,,,1.19,,4225404.903015873,-54.752851711026615,-36.702127659574465,-33.88888888888889,-82.34421364985162,85.9004739336493,127.7048731696695,276,full,usable,2026-08-10,percent,deferred,
INDV,"Indivior Pharmaceuticals, Inc.  - Common Stock",nasdaqtrader:Q:INDV,common_equity,eligible,Q,,,38.47,,76636062.08857143,-5.012345679012354,-2.607594936708868,11.961583236321305,74.46712018140589,8.032512550800863,35.242425488674826,276,full,usable,2026-08-10,percent,deferred,
INFQ,"Infleqtion, Inc. Common Stock",nasdaqtrader:N:INFQ,common_equity,eligible,N,,,11.69,,227771218.83476192,4.65532676812892,-3.5478547854785436,0.2572898799313883,15.285996055226803,54.95183044315992,93.89980687712053,276,full,usable,2026-08-10,percent,deferred,
INFU,"InfuSystems Holdings, Inc. Common Stock",nasdaqtrader:A:INFU,common_equity,eligible,A,,,12.12,,2220405.9819047623,25.20661157024793,44.1141498216409,56.994818652849744,61.170212765957444,2.962369895916739,95.41866556408283,276,full,usable,2026-08-10,percent,deferred,
INFY,Infosys Limited American Depositary Shares,nasdaqtrader:N:INFY,adr,eligible,N,,,12.56,,267638317.91206348,14.808043875685573,-2.104442712392829,-25.415676959619947,-21.598002496878898,37.88328387734915,46.55888957471316,276,full,usable,2026-08-10,percent,optional,
ING,"ING Group, N.V. Common Stock",nasdaqtrader:N:ING,common_equity,eligible,N,,,35.24,,102518644.3847619,8.799012040753329,16.998671978751666,17.232202262142394,47.20133667502089,1.8930957683741645,30.89030498215304,276,full,usable,2026-08-10,percent,deferred,
INGM,Ingram Micro Holding Corporation Common Stock,nasdaqtrader:N:INGM,common_equity,eligible,N,,,27.73,,36549297.29825397,-4.576737783895379,1.94852941176471,27.143512150389746,47.03075291622483,12.357774968394441,44.092077444891515,276,full,usable,2026-08-10,percent,deferred,
INGN,"Inogen, Inc - Common Stock",nasdaqtrader:Q:INGN,common_equity,eligible,Q,,,6.02,,1928481.33984127,-7.9510703363914415,-14.245014245014243,6.360424028268552,2.555366269165238,32.73743016759777,44.551290547924985,276,full,usable,2026-08-10,percent,deferred,
INGR,Ingredion Incorporated Common Stock,nasdaqtrader:N:INGR,common_equity,eligible,N,,,103.48,,88132885.32603174,4.789873417721524,-3.640934910140603,-13.845641495295979,-18.048625960243914,20.117338273892226,22.95518839639292,276,full,usable,2026-08-10,percent,deferred,
INHD,Inno Holdings Inc. - Common Stock,nasdaqtrader:Q:INHD,common_equity,eligible,Q,,,6.63,,176856812.84865078,-83.21093947834895,304.26829268292687,-72.60330578512398,-98.8594137076796,99.85641891891892,336.1601225183661,276,full,usable,2026-08-10,percent,deferred,
INIO,INNIO N.V. - Ordinary Shares,nasdaqtrader:Q:INIO,common_equity,eligible,Q,,,27.13,,195353758.85043475,-18.79676743489973,,,,34.03841478239728,94.014481544244,46,insufficient,usable,2026-08-10,percent,deferred,
INKT,"MiNK Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:INKT,common_equity,eligible,Q,,,10.95,,310232.03873015876,-0.9049773755656187,-0.8152173913043459,-0.1823154056517895,-13.507109004739348,37.42857142857143,60.29381886130377,276,full,usable,2026-08-10,percent,deferred,
INLF,INLIF LIMITED - Class A Ordinary shares,nasdaqtrader:Q:INLF,common_equity,eligible,Q,,,5.6,,18880385.183968253,63.26530612244896,-99.34731934731936,-99.63991769547324,-99.8529411764706,99.87676056338029,438.47357643645904,276,full,usable,2026-08-10,percent,deferred,
INLX,"Intellinetics, Inc. Common Stock",nasdaqtrader:A:INLX,common_equity,eligible,A,,,5.38,,20088.34468730159,-10.33333333333334,-24.225352112676056,-36.02853745541022,-52.59911894273128,57.537490134175215,66.48252371638735,275,full,usable,2026-08-07,percent,deferred,
INM,InMed Pharmaceuticals Inc. - Common Shares,nasdaqtrader:Q:INM,common_equity,eligible,Q,,,1.41,,4064281.4749079365,-14.02439024390244,116.9230769230769,49.95214293310644,-37.053571428571445,42.6829268292683,68.06965429135478,276,full,usable,2026-08-10,percent,deferred,
