ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id,identity_resolution_required,identity_resolution_reason
OSPN,OneSpan Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OSPN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OSS,"One Stop Systems, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OSS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OST,"Ostin Technology Group Co., Ltd. - Class A Ordinary Shares",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OST,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OSTX,OS Therapies Incorporated Common Stock,A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:OSTX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OSUR,"OraSure Technologies, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OSUR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OSW,OneSpaWorld Holdings Limited - Common Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OSW,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OTEX,Open Text Corporation - Common Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OTEX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OTF,Blue Owl Technology Finance Corp. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:OTF,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OTIS,Otis Worldwide Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:OTIS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OTLK,"Outlook Therapeutics, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OTLK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OTTR,Otter Tail Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OTTR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OUST,"Ouster, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OUST,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OUT,OUTFRONT Media Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:OUT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OVBC,Ohio Valley Banc Corp. - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OVBC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OVID,Ovid Therapeutics Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OVID,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OVLY,Oak Valley Bancorp (CA) - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OVLY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OVV,Ovintiv Inc. (DE),N,,,common_equity,eligible,True,N,N,,qrgf-resolution-required:N:OVV,requires_authoritative_resolution_before_L3,,,,nasdaq_trader_all_us_listed,True,instrument_resolution_required
OWL,Blue Owl Capital Inc. Class A Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:OWL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OWLS,OBOOK Holdings Inc. - Class A Common Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OWLS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OWLT,"Owlet, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:OWLT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OXBR,Oxbridge Re Holdings Limited - Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:OXBR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
OXM,"Oxford Industries, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:OXM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
