ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id,identity_resolution_required,identity_resolution_reason
SPRO,"Spero Therapeutics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPRO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPRU,Spruce Power Holding Corporation Class A Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPRU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPRY,"ARS Pharmaceuticals, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPRY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPSC,"SPS Commerce, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPSC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPT,"Sprout Social, Inc - Class A Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPTX,"Seaport Therapeutics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPTX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPWH,"Sportsman's Warehouse Holdings, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPWH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPXC,"SPX Technologies, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPXC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SQFT,"Presidio Property Trust, Inc. - Class A Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SQFT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SQM,Sociedad Quimica y Minera S.A. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SQM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SR,Spire Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRAD,Sportradar Group AG - Class A Ordinary Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRAD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRBK,"SR Bancorp, Inc. - Common stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRBK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRCE,1st Source Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRCE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRE,DBA Sempra Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SRE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
