ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
XE,"X-Energy, Inc. - Class A Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XEL,Xcel Energy Inc. - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XEL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XELB,"Xcel Brands, Inc - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XELB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XENE,Xenon Pharmaceuticals Inc. - Common Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XENE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XERS,"Xeris Biopharma Holdings, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XERS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XFLH,XFLH Capital Corporation Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:XFLH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XFLT,XAI Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:XFLT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XFOR,"X4 Pharmaceuticals, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XFOR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XGN,Exagen Inc. - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XGN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XHLD,"TEN Holdings, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:XHLD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
XHR,"Xenia Hotels & Resorts, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:XHR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
