ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
NTNX,"Nutanix, Inc. - Class A Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:NTNX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTR,Nutrien Ltd. Common Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:NTR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTRA,"Natera, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:NTRA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTRB,Nutriband Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:NTRB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTRP,"NextTrip, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:NTRP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTRS,Northern Trust Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:NTRS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTSK,"Netskope, Inc. - Class A Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:NTSK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTST,NetSTREIT Corp. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:NTST,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NTWK,NETSOL Technologies Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:NTWK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
NU,Nu Holdings Ltd. Class A Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:NU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
