ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
ALG,"Alamo Group, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALGM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALGN,"Align Technology, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALGN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALGS,"Aligos Therapeutics, Inc. - Common stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALGS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALGT,Allegiant Travel Company - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALGT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALH,Alliance Laundry Holdings Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALHC,"Alignment Healthcare, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALHC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALIT,"Alight, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALIT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALK,"Alaska Air Group, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALKS,Alkermes plc - Ordinary Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALKS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALKT,"Alkami Technology, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALKT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALL,Allstate Corporation (The) Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALLE,Allegion plc Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALLE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALLO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALLR,"Allarity Therapeutics, Inc. - Common stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALLR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALLT,Allot Ltd. - Ordinary Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALLT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALLY,Ally Financial Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALLY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALM,Almonty Industries Inc. - Common Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALMR,"Alamar Biosciences, Inc. - Class A common stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALMR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALMS,Alumis Inc. - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALMS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALMU,"Aeluma, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALMU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALNT,Allient Inc. - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALNT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALNY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALOT,"AstroNova, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALOT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALOV,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALOY,REalloys Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALOY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALRM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALRS,Alerus Financial Corporation - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALRS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALSN,"Allison Transmission Holdings, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALSN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALT,"Altimmune, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALTG,Alta Equipment Group Inc. Class A Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALTG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALTI,"AlTi Global, Inc. - Class A Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALTI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALTO,"Alto Ingredients, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALTO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALV,"Autoliv, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALV,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALVO,Alvotech - Ordinary Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALVO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALX,"Alexander's, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ALX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
ALXO,ALX Oncology Holdings Inc. - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:ALXO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
AM,Antero Midstream Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:AM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
AMAL,Amalgamated Financial Corp. - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:AMAL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
AMAT,"Applied Materials, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:AMAT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
AMBA,"Ambarella, Inc. - Ordinary Shares",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:AMBA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:AMBP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
AMBQ,"Ambiq Micro, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:AMBQ,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
