ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
BWLP,BW LPG Limited Common Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BWLP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BWMN,Bowman Consulting Group Ltd. - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BWMN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BWMX,"Betterware de Mexico, S.A.P.I. de C.V. Ordinary Shares",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BWMX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BWXT,"BWX Technologies, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BWXT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BX,Blackstone Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BXBL,"BOXABL, Inc.  - Common stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BXBL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BXC,Bluelinx Holdings Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BXC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BXDC,Blackstone Digital Infrastructure Trust Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BXDC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BXMT,"Blackstone Mortgage Trust, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BXMT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BXP,"BXP, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BXP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BY,"Byline Bancorp, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BYAH,"Park Ha Biological Technology Co., Ltd. - Class A Ordinary Shares",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BYAH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BYD,Boyd Gaming Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BYD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BYFC,Broadway Financial Corporation - Class A Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BYFC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
