ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id,identity_resolution_required,identity_resolution_reason
HAL,Halliburton Company Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:HAL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HALO,"Halozyme Therapeutics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HALO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HAO,Haoxi Health Technology Limited - Class A Ord Share,Q,S,N,common_equity,eligible,True,N,N,,qrgf-resolution-required:Q:HAO,requires_authoritative_resolution_before_L3,,,,nasdaq_trader_all_us_listed,True,instrument_resolution_required
HAPN,"Happen, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HAPN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HAS,"Hasbro, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HAS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HASI,"HA Sustainable Infrastructure Capital, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:HASI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HAWK,"HawkEye 360, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:HAWK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HAYW,"Hayward Holdings, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:HAYW,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBAN,Huntington Bancshares Incorporated - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HBAN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBB,Hamilton Beach Brands Holding Company Class A Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:HBB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBCP,"Home Bancorp, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HBCP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBIO,"Harvard Bioscience, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HBIO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada),N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:HBM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBNB,Hotel101 Global Holdings Corp. - Class A Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HBNB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBNC,"Horizon Bancorp, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HBNC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HBT,"HBT Financial, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HBT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HCA,"HCA Healthcare, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:HCA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
HCAI,"Huachen AI Parking Management Technology Holding Co., Ltd. - Class A Ordinary Shares",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:HCAI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
